Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
301,KC4MJN,443.625000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,"Jamestown, Round Mtn",,,,
302,K4MFD,444.037500,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Greeneville, Viking Mountain",,,,
303,N4FV,441.975000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,Greeneville,,,,
304,K4ARO,444.475000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,Seymour,,,,
305,W4KEV,443.875000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,Crossville,,,,
306,W4WVJ,444.600000,+,5.000000,,88.5,100.0,023,NN,FM,5.00,,Lenoir City,,,,
307,KG4FZR,441.800000,+,5.000000,Tone,141.3,88.5,023,NN,Auto,5.00,,"Etowah, Starr Mtn",,,,
308,N4DTR,444.450000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Waynesville, Chambers Mtn",,,,
309,WD4NWV,442.600000,+,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,"Andrews, Joanna Bald",,,,
310,K4AIH,443.650000,+,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,Andrews,,,,
311,AG4AZ,442.850000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,"Brevard, Rich Mountain",,,,
312,N0SU,443.400000,+,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,Bryson City,,,,
313,KI4GMA,444.850000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Canton,,,,
314,KJ4VKD,444.050000,+,5.000000,DTCS,88.5,88.5,047,NN,FM,5.00,,Clyde,,,,
315,N4DTR,444.375000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Franklin, Cowee Bald",,,,
316,KT4WO,444.550000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,Needmore,,,,
317,KJ4VKD,444.150000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Sylva,,,,
318,K4RCC,444.700000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,Sylva,,,,
319,K4RCC,444.875000,+,5.000000,Tone,131.8,131.8,023,NN,FM,5.00,,"Waynesville, Sylva",,,,
320,W4KEV,441.837500,+,5.000000,,88.5,88.5,023,NN,P25,5.00,,"Knoxville, Sharps Ridge",,,,
321,WE4MB,442.025000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Georgetown,,,,
322,W4GZX,444.275000,+,5.000000,Tone,114.8,88.5,023,NN,Auto,5.00,,Cleveland,,,,
323,AJ4G,442.325000,+,5.000000,Tone,100.0,88.5,023,NN,Auto,5.00,,"Middlesboro, White Oak Spur",,,,
324,WB9SHH,444.750000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"Monticello, Spann Hill",,,,
325,KB4PTJ,444.050000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Williamsburg,,,,
326,KK4BXE,440.525000,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Cleveland,CQCQCQ,,,0
327,W4OAR,442.925000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Cleveland,,,,
328,WD4DES,442.250000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,"Benton, Chilhowee  Mountain",,,,
329,KG4LHC,443.750000,+,5.000000,Tone,203.5,88.5,023,NN,FM,5.00,,Newport,,,,
330,AJ4G,443.462500,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Middlesboro,CQCQCQ,,,0
331,KD4CED,444.600000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,"Cashiers, Big Sheep Cliff",,,,
332,W2IQ,443.450000,+,5.000000,Tone,156.7,156.7,023,NN,FM,5.00,,Bean Station,,,,
333,K4MFD,444.200000,+,5.000000,Tone,118.8,118.8,023,NN,FM,5.00,,"Greeneville, Viking Mountain",,,,
334,K4WCU,444.975000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"Cullowhee, Western Carolina University",,,,
335,WB4GBI,444.300000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,"Sevierville, Bluff Mountain",,,,
336,KE4EST,444.750000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Murphy,,,,
